index,epoch,sample_count,train_loss,val_loss,epoch_val_loss
0,0,4,0.27527034282684326,,
1,0,8,0.3007698655128479,,
2,0,12,0.369903564453125,,
3,0,16,0.04740198701620102,,
4,0,16,,0.01513671875,
5,0,20,0.045150719583034515,,
6,0,24,0.17191120982170105,,
7,0,28,0.18715667724609375,,
8,0,32,0.048810821026563644,,
9,0,36,0.0,,
10,0,36,,0.07781982421875,
11,0,40,0.12408672273159027,,
12,0,44,0.07137733697891235,,
13,0,48,0.06787210702896118,,
14,0,52,0.06799328327178955,,
15,0,56,0.13419964909553528,,
16,0,56,,0.05126953125,
17,0,60,0.39513227343559265,,
18,0,64,0.014527360908687115,,
19,0,68,0.10375865548849106,,
20,0,72,0.09074193239212036,,
21,0,76,0.07138530910015106,,
22,0,76,,0.0,
23,0,80,0.3881347179412842,,
24,0,84,0.21398964524269104,,
25,0,88,0.088141068816185,,
26,0,92,0.2522886097431183,,
27,0,96,0.2892008423805237,,
28,0,96,,0.1448974609375,
29,0,100,0.2104591429233551,,
30,0,104,0.39825066924095154,,
31,0,108,0.016471683979034424,,
32,0,112,0.058663271367549896,,
33,0,116,0.24636507034301758,,
34,0,116,,0.0,
35,0,120,0.07977358996868134,,
36,0,124,0.07390396296977997,,
37,0,128,0.08963742107152939,,
38,0,132,0.0,,
39,0,136,0.46780845522880554,,
40,0,136,,0.0810546875,
41,0,140,0.10871230065822601,,
42,0,144,0.24816110730171204,,
43,0,148,0.07741107791662216,,
44,0,152,0.02847633883357048,,
45,0,156,0.05876326560974121,,
46,0,156,,0.1998291015625,
47,0,160,0.14478592574596405,,
48,0,164,0.3333333432674408,,
49,0,168,0.25477492809295654,,
50,0,172,0.24787402153015137,,
51,0,176,0.011861185543239117,,
52,0,176,,0.0,
53,0,180,0.13301214575767517,,
54,0,184,0.29620465636253357,,
55,0,188,0.0,,
56,0,192,0.07875262200832367,,
57,0,196,0.13952729105949402,,
58,0,196,,0.11785888671875,
59,0,200,0.022038936614990234,,
60,0,204,0.422656774520874,,
61,0,208,0.07710077613592148,,
62,0,212,0.20124077796936035,,
63,0,216,0.07923722267150879,,
64,0,216,,0.04638671875,
65,0,220,0.04437478631734848,,
66,0,224,0.06908544152975082,,
67,0,228,0.061021387577056885,,
68,0,232,0.11075884103775024,,
69,0,236,0.11757706105709076,,
70,0,236,,0.1864013671875,
